aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
5,1922.61,34.42,31.87,0,21.7,127.41,168.42,15.83
4,460.62,0,13.19,50.07,8.58,37.23,80.49,4.18
5,300.41,0,5.74,117.3,7.75,61.99,230.85,3.29
5,1708.98,14.75,39.76,0.39,27.42,103.77,125.89,31.41
5,1815.8,10.73,69.23,1.74,20.98,107.1,126.83,21.28
5,2429.96,32.63,65.12,0.01,20.03,159.3,198.42,23.56
5,1842.5,18.1,47.3,0.19,18.6,133.14,167.68,26.09
4,747.68,0,22.62,48.64,13.71,40.63,54.17,15.58
5,934.6,0.46,31.53,15.56,14.31,59.94,79.15,18.49
5,2109.53,25.48,51.41,0.02,16.21,153.63,189.07,28.63
5,2136.23,28.16,60.32,0,28.85,144.05,173.91,39.52
5,5126.95,101.92,49.35,0,38.15,365.92,419.71,35.46
5,4005.43,82.25,84.31,0,77.25,269.95,364.99,79.04
5,814.44,0.11,32.56,30.76,13.47,71.1,100.68,13.3
5,1081.47,0.05,41.81,28.25,23.6,65.51,107.78,19.25
5,7370,144.84,154.91,0,198.36,582.15,644.73,149.97
5,1121.52,0,31.19,77.96,38.62,138.09,169.12,26.85
5,1428.6,0,46.61,87.26,32.9,179.62,201.89,16.72
5,1976.01,21.23,57.58,0.04,25.03,124.74,167.02,26.6
5,5554.2,108.18,97.33,0,79.15,389.28,496.12,84.1
4,741,0,28.79,52.93,18.36,49.45,60.41,14.19
5,1188.28,0.56,37.7,12.7,18.12,85.96,114.72,22.55
5,1201.63,1.54,40.1,8.23,20.74,75.7,102.16,22.29
5,881.2,0.04,27.08,25.75,16.45,69.57,85.9,17.99
5,934.6,0,30.16,60.8,17.88,71.09,88.42,18.49
5,1041.41,0.01,39.07,35.76,23.13,77.84,91.18,19
5,1976.01,10.73,69.23,0.94,31.47,152.84,180.64,26.6
5,1895.9,27.49,41.13,0.02,30.28,120.38,161.36,30.15
5,761.03,0,22.28,57.94,18.12,61.47,79.1,17.23
5,1041.41,0,37.01,36.48,20.5,80.09,99.85,19.25
4,547.41,0,21.25,72.24,15.74,36.11,47.9,11.65
5,754.36,0,19.71,60.8,21.46,73.97,100.03,14.69
4,734.33,0.12,29.13,23.96,16.69,38.79,57.71,13.55
5,1041.41,1.17,39.41,9.92,22.65,55.28,76.55,18.24
5,1949.31,16.99,70.6,0.14,30.99,102.63,148.71,25.08
5,3017.43,44.7,86.37,0,58.65,175.05,228.56,49.14
5,2910.61,28.16,89.11,0.01,66.76,205.5,255.37,55.22
5,1562.12,15.42,46.61,0.1,27.66,88.69,126.22,26.09
5,674.25,0,22.62,77.25,18.84,66.11,88.82,13.68
5,2429.96,31.74,54.15,0,35.29,174.68,231.02,31.92
5,2349.85,30.85,56.89,0,39.1,159.58,217.92,43.57
4,647.54,0,23.31,66.52,18.12,42.94,61.85,12.79
4,587.46,0,19.19,79.39,16.69,33.2,44.88,10.39
4,974.66,0.01,37.7,35.76,20.27,42.86,61.07,16.97
5,1335.14,2.15,39.76,4.38,25.51,74.41,98.43,23.56
5,1268.39,0,45.24,36.12,29.8,73.04,94.33,20.01
5,761.03,0,25.7,85.12,21.46,51.91,63.07,13.05
5,5767.82,108.18,80.2,0,143.05,418.65,497.62,106.39
5,814.44,0,19.02,74.39,20.27,79.41,90.96,13.05
5,1041.41,0,37.01,41.84,23.84,64.99,95.29,16.21
5,921.25,0,28.1,37.55,21.22,65.2,96.73,16.72
5,2216.34,13.86,54.84,0.1,48.64,120.92,162.3,36.48
5,2643.59,33.08,86.37,0,70.57,140.35,194.68,79.04
5,1762.39,16.54,53.47,0.13,41.01,105.32,149.36,25.59
5,647.54,0,23.31,55.79,17.64,50.34,81.35,13.05
4,814.44,0.02,33.59,24.32,18.84,49.21,75.19,14.82
5,1054.76,0.63,50.04,12.52,22.89,55.69,77.59,15.71
4,600.81,0,20.22,61.51,13.95,41.8,61.24,9.5
4,794.41,0,23.99,48.64,17.64,44,57.22,11.4
5,2056.12,35.32,32.9,0,44.82,114.67,161.58,24.57
3,473.98,0,16.11,59.37,13.35,23.55,39.19,9.75
3,380.52,0,11.82,77.25,11.32,20.55,35.29,7.03
5,1789.09,24.59,51.41,0,37.19,92.41,153.24,25.59
4,774.38,0.01,29.82,40.05,19.31,46.66,60.82,11.27
5,2162.93,25.26,43.18,0.01,39.58,126.1,182.76,24.83
5,1895.9,30.4,32.56,0,41.48,103.94,146.13,27.87
5,2136.23,34.87,47.98,0,47.21,114.31,162.88,30.15
4,487.33,0,12.34,69.38,12.16,49.1,78.6,7.92
5,367.16,0,10.02,72.24,11.68,54.33,115.12,5.38
5,1081.47,0.99,40.78,16.45,24.08,61.34,99.76,16.97
5,660.9,0,23.65,51.5,15.74,61.45,138.09,10.64
5,520.71,0,16.11,81.54,15.5,75.67,131.11,7.79
5,480.65,0,13.88,45.06,11.32,83.77,146.3,9.37
5,2616.88,29.5,65.12,0,63.9,151.42,208.66,47.62
5,1588.82,10.51,58.26,0.49,38.15,86.16,116.62,23.05
4,574.11,0,18.34,65.8,14.31,40.79,54.83,11.53
4,774.38,0,29.82,39.34,21.46,39.11,57.5,15.71
5,1842.5,26.38,49.35,0.01,46.73,92.61,123.07,35.97
4,423.91,0,11.14,77.96,10.49,32.5,54.75,6.59
4,814.44,0.45,30.5,20.38,19.55,42.14,57.14,13.68
4,403.88,0,10.37,51.5,12.52,34.16,58.06,6.52
5,594.14,0,18.34,58.65,15.74,58.69,99.52,10.89
5,627.52,0,23.31,53.64,18.12,55.28,101.97,10.26
5,587.46,0,20.39,58.65,15.5,55.43,109.5,8.61
4,614.17,0,21.76,52.93,16.93,49.94,84.37,10.39
5,540.73,0,17.65,35.05,12.28,50.61,95.17,9.75
4,377.18,0,10.71,52.21,8.23,40.71,84.67,7.16
4,380.52,0,10.37,56.51,9.18,40.32,80.6,6.97
4,594.14,0,21.08,49.35,13.59,41.21,70.34,10.01
5,1201.63,2.74,45.93,9.57,29.33,65.62,100,16.72
4,487.33,0,16.45,87.98,15.74,35.74,43.64,7.79
5,847.82,0.01,32.56,25.75,24.8,52.53,102.17,16.21
5,1308.44,10.28,47.98,3.53,31.47,61.87,108.29,19.76
4,647.54,0,23.31,33.97,16.93,30.87,67.25,12.92
5,1735.69,14.31,40.78,0.11,44.82,80.25,114.3,24.57
4,380.52,0,10.02,72.96,10.85,24.68,65.75,6.71
5,1375.2,9.28,39.07,0.46,35.76,67.31,107.38,22.8
4,447.27,0,12.85,70.1,11.8,27.77,51.4,7.92
5,1214.98,7.26,38.04,0.61,32.42,54.39,80.97,22.29
4,343.8,0,8.05,75.1,9.18,32.05,58.02,4.12
4,390.53,0,10.37,44.7,8.58,32.27,63.25,7.09
4,350.48,0,9.34,36.48,8.34,32.1,55.83,5.7
5,554.08,0,17.65,46.49,14.9,44.19,115.41,9.5
5,534.06,0,15.94,38.27,15.14,40.96,101.24,8.87
5,494,0,15.42,32.54,13.95,42.25,126.23,9.5
5,640.87,0,22.62,49.35,15.5,59.85,188.68,8.87
5,620.84,0,20.56,43.63,16.69,59.92,146.22,11.53
5,350.48,0,8.91,65.8,8.23,50.07,138.61,5.26
4,367.16,0,8.31,70.81,9.18,35.21,80.83,5.83
4,350.48,0,8.31,70.81,9.3,31.96,72.41,5.38
4,287.06,0,6.17,78.68,7.51,30.58,70.64,3.55
4,290.39,0,6.34,82.25,7.75,34.61,95.21,3.99
5,343.8,0,10.88,48.64,9.78,48.44,124.01,5.95
5,320.43,0,12,36.84,13.95,112.92,289.67,3.99
5,393.87,0,11.82,31.47,9.42,47.89,109.63,7.09
5,283.72,0,6.6,72.96,9.66,89.43,222.3,3.42
5,433.92,0,14.05,49.35,12.64,98.43,261.5,8.23
5,320.43,0,12.34,69.38,15.5,149.29,409.29,3.17
5,350.48,0,10.37,46.49,10.37,156.55,399.91,5.64
5,400.54,0,12.68,67.95,11.92,92.24,205.94,6.78
5,460.62,0,15.25,47.92,12.52,58.44,120.44,8.23
5,257.02,0,5.65,55.07,7.33,51.47,132.53,2.37
5,257.02,0,6.34,59.37,8.34,37.7,107.12,2.31
5,307.08,0,9.25,43.63,10.85,35.27,137.56,4.02
4,347.14,0,14.05,33.97,15.97,24.39,67.53,5.38
4,337.12,0,13.19,40.05,14.42,25.99,74.89,5.32
4,333.79,0,11.65,41.48,13.47,18.35,53.73,4.75
4,370.5,0,13.71,49.35,16.21,20.05,63.88,5.45
5,253.68,0,6.68,49.35,8.82,22.38,100.64,2.47
5,333.79,0,10.28,52.93,10.97,31.29,133.15,5.13
4,377.18,0,12.51,30.76,13.23,18.99,61.56,6.33
4,340.46,0,9.94,43.99,9.3,18.79,58.51,5.07
4,333.79,0,10.62,45.78,10.01,20.32,57.81,5.64
3,300.41,0,9,56.51,10.25,14.18,49.36,4.31
5,270.37,0,7.71,60.08,9.78,24.29,108.8,3.1
4,337.12,0,9.77,44.7,8.34,21,62.33,6.27
3,347.14,0,10.71,46.49,9.3,18.91,49.93,7.28
4,363.83,0.03,14.22,21.46,15.26,16.87,50.32,6.02
1,297.07,0,9.51,57.94,14.19,9.87,15.22,3.51
2,367.16,0,12.51,43.99,13.95,10.45,17.77,5.32
2,320.43,0.06,12.85,18.78,14.07,8.5,20.16,4.12
2,310.42,0.02,13.02,25.39,13.95,10.07,25.96,4.37
1,273.7,0.05,10.62,18.24,14.19,5.82,12.21,2.6
1,303.75,0.31,17.65,9.92,26.7,7.48,11.48,2.41
2,330.45,0.75,21.08,6.35,31.47,10.32,17.91,3.77
1,280.38,0.17,16.79,13.05,25.03,7.51,15.58,2.88
1,350.48,0.02,17.99,23.25,21.46,8.31,11.45,4.18
2,317.1,0.2,17.65,12.34,22.65,11.6,18.49,3.7
2,290.39,0.31,16.45,9.57,22.89,10.44,20.01,2.94
1,263.69,0.13,13.02,13.05,19.07,9.43,17.87,2.31
1,280.38,0.09,11.31,15.56,12.87,5.53,7.95,3.23
2,327.11,0.11,15.94,15.2,18.12,11.95,16.56,4.02
2,273.7,0.02,13.19,24.32,19.07,13.45,22.42,1.99
3,427.25,1.1,44.55,4.78,69.62,21.86,26.16,2.88
3,380.52,0,15.94,35.41,19.07,24.08,39.24,4.43
4,423.91,0,21.59,34.69,23.13,33.56,38.95,1.49
4,383.85,0,7.54,113.01,10.85,39.51,42.67,1.8
2,337.12,0,10.97,47.92,14.42,17.77,22.59,1.23
2,327.11,0.22,18.85,11.98,27.89,11.28,13.4,1.8
1,347.14,0.02,16.45,22.71,19.31,8.13,11.35,4.69
1,280.38,0.05,11.82,18.78,15.02,9.35,11.49,3.2
1,310.42,0.07,14.91,16.99,18.36,6.6,7.98,2.94
1,290.39,0.05,10.71,18.95,11.68,6.21,7.82,2.18
2,373.84,0.1,15.59,15.38,14.66,11.71,14.75,2.53
3,660.9,3.58,25.02,0.84,24.32,24.97,30.36,4.94
1,363.83,0.19,17.31,13.23,17.4,9.59,11.27,2.31
2,413.89,0.31,16.79,9.83,15.74,12.34,14,2.6
2,387.19,0.47,22.28,8.31,25.99,15.63,20.63,3.58
1,283.72,0.09,10.54,16.99,9.42,5.5,6.26,1.44
2,287.06,0.09,11.65,16.99,9.78,11.9,13.35,1.41
2,283.72,0.02,7.03,24.68,7.33,12.01,13.26,1.8
2,303.75,0.05,10.62,19.85,9.89,14.78,15.8,1.71
1,297.07,0.03,8.31,23.6,8.82,7.46,8.17,1.68
2,293.73,0.01,13.02,27.89,11.09,11.4,13.9,1.76
3,500.68,0.03,18.68,22.71,18.36,21.77,24.2,3.39
4,614.17,11.51,36.33,0.05,41.48,43.8,54.07,3.26
3,280.38,0.08,17.31,17.34,32.42,20.51,24.99,1.41
2,267.03,0.06,12.17,17.34,22.41,11.83,14.64,1.12
2,433.92,0.31,14.57,9.66,10.01,15.25,19.21,3.7
2,287.06,0.04,11.65,20.92,11.32,14.45,15.48,1.11
2,310.42,0.09,9.68,17.34,9.3,13.35,14.29,1.66
3,380.52,0.22,13.02,15.38,15.02,21.4,40.02,3.8
2,460.62,0.29,17.99,10.64,15.5,16.03,19.19,3.07
2,333.79,0.07,10.88,16.99,10.01,11.91,13.06,1.82
2,333.79,0.34,12,9.21,10.61,12.9,14.64,2.18
3,594.14,3.21,19.02,1.45,15.14,23.93,28.89,3.93
4,694.27,5.76,21.08,0.43,16.45,30.68,39.22,4.62
2,467.3,0.21,17.31,12.52,12.87,18.67,23.41,3.48
4,600.81,0.3,23.31,15.2,19.07,28.54,35.05,4.62
4,574.11,0.77,22.28,10.55,15.5,26.66,35.47,5.13
3,514.03,0.04,16.45,20.74,11.8,21.48,27.66,3.51
2,460.62,0.09,16.28,16.45,12.87,18.79,24.34,3.89
4,567.44,0.03,18.68,22.71,16.21,25.09,30.14,5
2,467.3,0.05,19.36,19.85,17.17,19.12,22.77,3.07
5,1655.58,39.34,21.76,0,20.5,86.06,101.42,5.26
5,1789.09,37.55,20.22,0,30.52,86.77,97.1,10.77
2,587.46,5.03,19.36,0.6,19.07,19.01,22.79,3.7
2,487.33,0.11,16.45,14.48,11.92,18.32,23.53,3.7
5,767.71,13.08,31.87,0.02,47.68,52.85,60.15,5.07
5,1388.55,42.47,50.04,0,87.74,115.16,122.53,4.88
5,827.79,18.33,40.44,0,79.15,61.9,66.77,2.09
4,534.06,6.2,32.22,0.09,34.81,36.23,44.58,2.44
2,303.75,0.28,18.68,10.91,29.56,11.47,13.28,1.25
2,303.75,0.23,12.51,11.27,11.44,10.33,12.47,2.15
2,260.35,0.01,8.91,26.11,8.46,18.14,29.34,2.37
2,397.21,0.17,14.05,13.23,9.78,15.17,19.22,3.17
2,440.6,0.73,17.65,6.44,13.47,14.72,18.33,3.48
1,300.41,0.25,10.88,11,9.66,7.04,7.95,1.58
2,267.03,0.18,12.68,13.05,14.54,15.98,20.56,1.93
2,377.18,0.18,15.77,13.41,12.87,14.9,18.43,2.94
3,594.14,1.54,21.42,3.4,18.12,24.84,29.68,4.12
2,360.49,0.25,11.82,10.55,10.73,15.09,18.71,2.94
2,353.81,0.05,12.68,19.85,13.47,18.9,22.72,2.79
3,260.35,0.06,7.37,19.49,7.87,16.22,37.14,1.6
2,333.79,0.13,12.34,15.38,12.16,13.7,26.89,2.34
2,467.3,1.66,16.45,3.35,11.92,18.36,26.61,3.83
3,554.08,0.59,20.39,7.6,15.02,24.17,32.58,3.99
5,1214.98,19.67,22.96,0.02,15.26,67.71,86.17,4.81
5,1174.93,15.2,23.31,0.15,14.54,55.15,70.87,6.27
4,694.27,2.88,21.93,2.06,11.44,30.16,41.96,4.94
5,4325.87,104.61,24.33,0,32.42,279.99,326.77,14.95
5,3471.37,74.21,46.61,0,35.29,325.98,366.02,11.02
5,1255.04,10.73,34.62,0.4,15.74,62.24,78.71,4.18
5,1815.8,41.57,31.19,0,28.37,116.76,145.06,7.54
5,6034.85,182.39,31.87,0,43.39,376.69,431.38,17.23
2,480.65,0.06,16.28,20.74,9.78,18.93,27.2,4.69
2,473.98,0.01,14.91,28.97,11.56,17.71,28.08,5.26
4,687.6,0.42,25.36,11.8,16.69,29.1,41.44,6.84
5,1401.9,23.25,30.16,0.01,24.32,80.91,120.51,8.49
5,1535.42,19.22,43.18,0.03,19.79,72.68,99.48,14.19
5,1562.12,19.22,30.16,0.01,24.56,87.91,109.23,9.75
4,814.44,0.01,28.79,39.34,36.72,46.54,49.79,0.82
5,1241.68,0,29.47,38.27,19.31,77.18,85.3,6.9
5,3417.97,52.75,44.55,0,37.19,213.64,240.43,14.19
5,1001.36,2.35,41.13,3.26,30.28,68.24,71.3,2.75
5,1789.09,35.76,25.02,0,38.15,96.23,108.94,8.49
4,587.46,0.55,19.71,7.78,19.31,26.2,28.75,3.04
3,417.23,0,12.34,33.97,13.35,24.7,26.21,2.22
3,600.81,0.25,20.05,11.62,12.64,21.4,30.78,3.93
3,390.53,0.16,12.51,13.77,11.21,20.78,30.92,2.94
5,1121.52,16.32,20.56,0.01,15.26,52.92,77.76,6.84
2,440.6,0.08,14.91,17.52,13.23,15.41,25.49,5.07
2,487.33,0.07,16.79,19.85,12.52,17.4,26.96,5.13
2,447.27,0.01,15.08,27.54,11.92,14.51,22.2,6.52
1,287.06,0,8.57,43.99,8.94,6.58,10.37,3.61
1,317.1,0,10.37,37.91,10.97,9.04,14.2,3.96
2,453.95,0.01,15.77,26.82,9.66,17.07,27.05,4.81
2,397.21,0.02,13.19,24.32,11.56,15.73,23.83,3.29
4,700.95,1.45,26.05,4.2,15.97,34.38,49.82,4.94
4,761.03,4.58,23.99,1.15,16.69,34.32,53.39,9.12
5,1815.8,36.66,27.76,0,31.95,105.82,129.64,8.74
5,6088.26,153.78,52.09,0,61.99,419.11,460.87,23.05
5,2216.34,46.49,33.59,0,25.51,110.27,149.42,22.8
1,337.12,0.01,10.37,25.75,8.7,7.75,12.06,6.27
4,594.14,0.04,20.73,28.25,11.09,26.73,37.27,5.83
5,3044.13,68.84,28.79,0,32.42,158.89,191.8,28.37
4,787.73,0.02,33.93,24.32,16.69,34.47,52.5,15.33
5,907.9,0.04,39.07,21.28,18.84,50.34,90.29,16.97
5,4753.11,91.2,62.38,0,57.7,328.58,394.99,44.58
4,1161.58,0,15.59,33.62,16.21,36.34,39.07,2.75
5,1308.44,7.15,39.07,1.18,18.12,86.84,104.13,2.98
3,433.92,0.25,16.96,11.35,14.19,20.2,31.11,3.58
5,1361.85,24.14,24.68,0,20.74,73.3,101.22,6.52
5,3177.64,58.11,36.33,0,27.18,235.61,309.76,13.3
5,1922.61,23.25,32.56,0.01,22.41,130.45,178.17,22.8
5,1895.9,18.78,39.76,0.05,21.93,122.54,160.76,26.09
5,1895.9,19.45,38.73,0.05,23.6,135.99,185.42,24.57
5,1615.52,10.95,38.73,0.34,22.17,122.06,165.9,25.84
5,720.98,0,19.02,43.99,13.47,68.53,85.33,14.69
5,1762.39,22.13,31.53,0.02,25.03,128.23,163.02,26.09
5,2723.69,49.62,29.82,0,34.33,183.61,236.71,31.92
5,3845.21,58.11,67.17,0,71.53,264.26,322.36,72.96
5,1028.06,0.61,31.87,12.52,15.97,81.84,104.16,17.73
4,433.92,0,11.31,69.38,10.61,31.23,39.31,10.51
5,1388.55,19.45,23.65,0.01,20.98,87.76,122.21,22.8
5,2029.42,28.61,47.3,0,29.09,126.3,171.29,31.16
5,3685,54.09,83.63,0,61.04,235.08,296.07,49.14
5,3898.62,69.74,51.41,0,52.93,263.97,339.25,31.66
5,3017.43,32.63,86.37,0,76.29,223.28,320.3,68.9
5,6729.13,92.98,156.28,0,93.46,593.55,661.1,51.17
5,3124.24,51.41,69.92,0,34.33,209.9,290.17,40.53
5,3177.64,51.41,70.6,0,72.48,227.67,297.44,93.22
5,1762.39,14.19,52.09,0.14,33.86,137.2,197.64,57.76
5,747.68,0,19.54,61.51,15.02,77.03,110.2,15.33
5,2136.23,17.88,56.21,0.31,22.65,181.11,232.41,27.61
5,1548.77,0.78,55.52,11.62,25.27,124.47,163.43,22.04
5,2776,39.25,72.5,0,33.38,183.5,243,22.04
5,2776,36.13,78.75,0,30.25,190.5,263,40.02
5,2376.56,38.44,53.47,0,32.42,156.87,211.95,40.02
5,5928.04,125.17,86.37,0,103,425.72,487.09,77.01
5,3017.43,50.96,54.84,0,50.54,220.04,297.44,48.13
5,6195.07,109.08,78.83,0,88.69,516.42,597.76,45.09
5,2109.53,17.43,65.8,0.17,35.76,184.43,236.1,35.46
5,1348.5,0.34,50.72,16.99,24.08,87.2,116.94,18.49
5,1335.14,5.09,49.35,2.86,20.03,117.13,147.01,20.27
5,1401.9,14.08,38.04,0.19,18.84,95.35,129.7,26.85
5,1428.6,12.29,36.33,0.24,18.84,96.56,132.66,23.81
5,2376.56,30.4,54.84,0.01,31.47,143.99,194.39,36.98
5,2723.69,45.15,47.98,0,31.95,170.6,224.22,35.97
5,1081.47,0.04,42.16,23.6,18.84,82.48,121.58,17.99
5,1482.01,9.16,49.35,1.01,23.6,89.31,131.98,22.29
5,1922.61,28.61,39.41,0.01,29.8,121.74,167.42,26.85
5,2189.64,34.42,46.61,0,33.86,138.95,192.75,45.09
5,2056.12,39.34,33.59,0,27.18,134.52,196.26,38
5,2323.15,36.21,47.98,0,28.61,153.81,212.43,40.53
5,2323.15,25.26,68.55,0.05,43.39,164.27,217.11,56.24
5,1468.66,4.19,46.61,2.84,23.13,125.55,165.29,27.36
5,1482.01,9.5,44.55,0.95,21.93,116.25,152.93,23.31
5,687.6,0,21.25,56.51,19.79,52.94,68.57,15.83
5,1762.39,23.69,45.24,0.02,22.41,116.94,156.44,36.48
5,1548.77,12.63,47.3,0.26,20.27,110.57,144.99,34.45
5,2643.59,30.85,82.94,0.01,35.29,169.05,209.86,44.08
5,1148.22,1.15,36.67,8.85,20.98,95.7,120.55,22.04
5,821.11,0,24.68,49.35,16.93,90.85,107.66,16.72
5,907.9,0.02,26.73,31.47,17.17,102.14,122.65,17.99
5,1014.71,0,33.24,56.51,19.55,103.97,122.65,17.23
5,1241.68,1.37,48.67,10.82,15.74,97.42,116.51,17.99
5,1308.44,3.21,47.3,3.22,19.79,107.93,128.12,20.27
5,1068.12,0.02,35.64,27.18,18.84,114.93,135.52,18.75
5,1094.82,0,34.96,38.62,17.4,122.89,138.62,15.33
5,867.84,0,25.02,44.35,16.69,100.51,116.81,16.47
5,774.38,0,24.33,42.56,17.4,61.83,79,16.21
5,574.11,0,8.74,88.69,24.08,96.66,104.55,11.4
5,1268.39,0.02,38.73,25.03,17.4,149.84,170.51,20.27
5,1068.12,0,33.93,31.11,18.36,131.79,150.74,16.72
4,447.27,0,9.42,73.67,13.23,35.46,40.09,8.36
4,767.71,0.02,21.08,27.18,14.54,42.58,56.86,15.45
5,1201.63,0.36,41.81,11.27,18.6,65.2,85.47,17.73
5,867.84,0,29.82,46.49,18.12,67.43,82.3,14.82
5,1041.41,0.11,38.39,16.27,16.93,56.58,72.47,17.23
5,1976.01,26.38,52.78,0,28.13,148.65,190.39,46.1
5,3177.64,72.42,48.67,0,40.53,203.46,263.73,45.09
5,1441.96,11.29,56.89,0.26,29.56,88.62,111.3,21.79
5,1188.28,3.05,60.32,3.71,24.32,73.44,97.68,17.99
5,747.68,0,30.16,50.07,19.79,66.35,79.46,14.82
5,801.09,0,25.02,71.53,18.6,98.93,121.64,14.95
5,1482.01,5.09,52.09,1.27,18.6,140.47,167.85,22.29
5,680.92,0,15.08,68.66,17.88,98.91,107.29,14.69
5,1388.55,5.92,49.35,1.17,22.65,125.47,153.91,22.8
5,2056.12,33.53,40.44,0,22.17,163.69,210.54,29.89
5,1161.58,0.01,30.5,37.19,20.27,135.76,157.63,19.76
5,1134.87,0.01,41.81,35.05,24.08,112.64,135.59,18.49
5,854.49,0,34.62,37.91,16.93,76.89,111.74,15.45
5,1535.42,16.76,47.3,0.02,17.88,107.17,141.36,26.09
5,1842.5,24.14,35.3,0.01,19.07,163.21,203.9,30.65
5,2002.72,28.61,34.62,0.01,25.51,186.03,228.58,29.64
4,614.17,0,15.94,72.96,18.84,71.87,83.63,13.05
5,560.76,0,9.17,128.75,21.93,86.01,93.2,7.79
3,433.92,0,9.34,80.82,12.64,40.87,45.89,9.88
4,500.68,0,11.31,73.67,10.97,52.39,59.81,10.77
4,827.79,0.03,22.62,25.75,11.8,73.64,87.33,15.2
5,1468.66,10.39,40.44,0.58,17.17,118.26,143,20.52
5,2483.37,42.92,39.07,0,42.92,156.8,195.98,34.45
5,1869.2,19,47.3,0.04,26.23,118.6,150.43,24.57
4,654.22,0,21.08,47.21,15.14,58.92,101.91,12.03
4,961.3,0.01,34.62,36.84,22.89,60.84,113.85,16.21
5,814.44,0,30.5,52.21,19.07,76.15,103.52,13.93
3,787.73,0.01,32.22,35.05,17.17,44.83,63.35,16.47
5,1522.06,9.83,52.78,0.35,20.74,118.97,150.18,23.31
5,1628.88,15.65,39.41,0.11,25.99,121.36,158.47,26.35
5,1628.88,21.01,39.07,0.04,25.75,109.65,151.48,26.85
4,947.95,0.05,30.85,26.46,20.03,67.91,87.02,19.76
5,2082.82,31.74,42.16,0.01,23.6,153.46,199.99,31.66
4,600.81,0,20.91,83.68,16.93,61.73,81.46,12.79
4,473.98,0,12.34,94.41,12.16,52.28,68.1,9.25
4,660.9,0,18.85,67.95,13.47,70.02,87.15,13.3
5,747.68,0,17.99,76.53,15.5,102.17,119.53,13.43
5,667.57,0,16.45,94.41,19.31,92.09,111.67,10.39
3,594.14,0,19.36,81.54,19.31,48.51,70.64,11.27
4,634.19,0,17.31,70.1,15.74,68.46,83.79,13.93
5,594.14,0,9.34,115.87,15.14,75.18,82.68,9.63
4,794.41,0,20.39,53.64,18.36,73.89,86.22,5.38
5,4913.33,66.16,102.82,0,127.79,475.1,515,84.1
4,787.73,0,28.45,55.07,17.17,65.14,91.71,13.55
3,527.38,0,9.68,90.84,10.73,37.34,45.19,8.04
4,554.08,0,13.02,86.55,12.64,51.62,63.55,12.03
5,1121.52,0.23,34.62,18.06,19.55,83.75,110.48,21.28
5,1201.63,0.08,37.01,23.25,24.32,116.36,144.48,20.27
5,1762.39,32.63,27.42,0,23.37,131.62,176.68,35.46
5,2616.88,41.13,63.75,0,27.89,201.75,243.79,32.93
4,1255.04,1.72,54.84,6.79,19.31,73.31,121.23,16.09
5,1735.69,8.94,55.52,0.47,26.46,133.23,197.27,26.09
5,2830.51,61.69,47.98,0,52.45,181.86,278.97,76
5,5340.58,47.83,106.93,0,91.55,418.6,456.76,38.5
3,634.19,0.03,24.68,32.54,14.07,45.96,83.73,10.51
4,854.49,0.01,33.24,35.05,14.78,63.18,99.86,16.47
3,453.95,0,13.37,72.24,14.19,30.96,54.76,11.65
5,1375.2,2.04,54.15,5.68,26.23,85.7,118.95,24.83
5,1735.69,19.22,45.93,0.06,27.42,104.39,143.72,28.88
5,1735.69,15.42,52.78,0.08,27.89,107.92,154.63,26.6
5,1562.12,1.03,61.01,8.31,27.66,110.22,145.8,22.55
5,1682.28,16.99,47.98,0.04,28.37,115.33,163.67,27.61
5,2082.82,37.55,40.1,0,49.59,158.49,225.05,63.84
5,1375.2,0.02,50.04,26.11,27.89,151.65,186.02,22.29
4,1174.93,2.04,41.13,6.26,27.66,63.85,80.2,19.25
5,1482.01,14.31,40.44,0.47,30.52,94.94,133.22,21.03
4,1241.68,4.41,43.18,2.75,23.84,73.46,116.08,19
5,2269.74,26.82,45.24,0.01,68.66,153.54,186.64,56.74
3,627.52,0,25.02,63.66,15.5,43.83,68.26,12.29
3,700.95,0,28.45,48.64,16.69,44.69,66.74,14.95
5,1214.98,0.1,57.58,31.83,28.61,97.09,124.09,20.52
5,1121.52,0,45.24,53.64,33.86,101.95,125.42,19
4,841.14,0,33.59,43.99,20.74,67.51,94.5,15.33
5,1949.31,14.53,67.86,0.13,42.92,127.02,171.18,28.37
5,2376.56,21.9,74.03,0.03,51.5,149.09,176.75,24.07
5,580.79,0,10.97,52.21,13.83,75.51,84.15,14.69
5,827.79,0,22.62,41.13,19.07,76.49,95.73,14.57
5,1241.68,0.1,37.01,18.6,30.28,97,123.41,19.51
3,614.17,0,14.05,60.08,15.14,47.24,58.84,12.41
3,480.65,0,9.08,81.54,12.76,28.6,38.2,8.36
3,821.11,0.01,30.16,32.19,19.79,39.63,65.06,16.72
3,767.71,0,24.33,36.48,18.12,39.29,61.25,16.72
3,761.03,0,21.93,41.84,19.79,47.44,64.36,16.72
4,881.2,0,27.76,38.98,19.55,61.05,81.31,17.23
5,1815.8,0.91,59.63,7.51,42.44,115.38,140.56,25.33
4,947.95,0,32.22,46.49,25.27,64.9,88.22,16.97
5,827.79,0,23.99,60.8,24.8,88.39,122.72,12.03
4,921.25,0,26.73,54.36,23.37,74.92,86.51,13.17
5,1602.17,1.41,57.58,5.72,31.95,114.47,144.25,20.77
