aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
5,1789.09,21.01,56.21,0.02,39.58,115.94,210.72,30.65
5,2029.42,19.89,54.15,0,38.15,120.93,221.08,25.59
5,1001.36,2.1,37.36,10.01,19.79,70.56,136.7,16.97
5,647.54,0.01,20.74,30.4,12.99,55.85,104.59,12.79
5,1268.39,7.1,36.67,3.58,26.7,79.86,124,17.48
4,754.36,0.02,32.22,30.4,20.03,45.22,90.79,12.54
5,1789.09,20.34,53.47,0.01,42.44,91.26,135.72,31.41
4,500.68,0,15.08,60.08,14.07,43.47,69.07,9.63
5,727.65,0,32.22,37.91,21.7,79.27,186.15,13.81
5,3204.35,47.83,97.33,0,100.14,199.62,291.91,103.35
4,594.14,0,22.96,55.79,14.78,48.7,72.98,12.16
5,921.25,0.05,37.7,25.75,24.56,83.77,142.59,16.97
5,654.22,0,24.33,43.27,18.84,70.44,132.68,14.06
5,520.71,0,19.19,52.93,15.5,50.2,93.32,11.02
5,1295.09,6.04,45.24,0.66,31.95,79.22,126.95,20.77
5,1682.28,18.33,43.87,0.04,35.29,114.48,217.52,24.07
5,2536.77,35.76,52.09,0,59.61,180.69,265.41,47.12
5,801.09,0,28.79,39.34,18.12,69.17,109.39,14.31
5,1869.2,23.47,38.39,0.01,42.44,124.21,178.2,23.56
5,2243.04,36.66,39.76,0,53.41,140.04,204.78,29.13
4,417.23,0,16.45,73.67,15.97,26.99,56.35,9.63
4,867.84,0.33,35.64,23.25,23.6,46.69,88.18,18.75
5,1602.17,2.49,71.29,3.62,37.67,84.08,129.21,22.04
5,1228.33,0.12,43.18,15.38,32.42,82.43,128.21,21.28
4,447.27,0,11.31,86.55,12.64,49.67,94.91,7.85
5,453.95,0,13.02,77.96,13.11,51.54,84.63,8.04
4,494,0,17.14,38.62,12.28,46.16,94.68,10.13
5,988.01,0.23,33.24,15.38,17.41,98.45,231.17,14.82
5,1094.82,0.02,37.01,25.75,27.42,58.37,93.45,18.24
5,660.9,0.01,24.33,35.76,14.42,74.87,128.05,12.16
5,407.22,0,11.31,50.07,9.18,54.69,92.85,8.23
5,407.22,0,11.65,55.08,10.01,51.19,88.68,7.16
5,520.71,0,15.08,58.65,13.95,50.43,84.96,9.5
5,407.22,0,10.2,67.23,10.97,59.96,124.65,5.57
5,961.3,0.03,33.59,23.6,25.27,73.38,145.26,15.96
5,1201.63,1.17,41.81,7.42,28.37,69.59,115.67,20.27
4,821.11,0,28.79,45.78,23.6,45.29,74.04,15.71
5,1348.5,3.58,40.44,2.06,32.42,76.82,108.67,22.04
4,527.38,0,14.91,54.36,12.76,32.09,53.13,11.15
4,540.73,0,15.25,79.39,14.42,36.26,60.32,8.87
4,627.52,0,22.62,49.35,18.6,28.21,42.82,13.55
5,1134.87,0.07,35.99,19.67,31.47,65.28,84.02,18.24
4,447.27,0,13.02,70.1,14.07,35.44,58.45,6.78
4,377.18,0,8.14,61.51,9.3,37.64,80.04,4.31
5,1148.22,5.03,35.99,1.59,26.7,69.27,121.21,18.24
4,514.03,0,15.77,52.21,13.23,41.94,80.05,10.77
4,594.14,0,20.39,40.05,15.97,47.88,94.11,10.51
5,1041.41,2.18,35.64,5.19,24.8,63.84,113.11,18.24
5,2109.53,28.61,40.1,0.01,50.55,119.25,209.22,27.61
5,527.38,0,17.48,58.65,14.78,53.41,153.04,8.99
4,393.87,0,11.65,66.52,11.56,39.55,97.89,6.84
5,2536.77,41.13,45.24,0,50.55,160.07,343.14,32.93
5,1628.88,0.98,54.84,16.27,40.05,108.97,182.82,18.75
5,520.71,0,14.05,67.23,14.54,55.23,104.72,9.25
5,674.25,0,20.56,39.34,17.88,55.56,95.79,12.54
5,500.68,0,12.51,74.39,13.47,52.71,78.38,7.66
5,627.52,0,17.65,60.8,18.6,53.29,77.27,10.51
4,494,0,14.57,67.95,14.42,47.97,68.5,8.11
5,594.14,0,17.65,68.67,26.23,52.19,71.19,9.63
5,907.9,0,31.53,48.64,23.13,66.89,98.83,15.07
4,337.12,0,7.97,62.94,9.3,26.23,40.75,4.37
4,527.38,0,16.28,45.06,14.42,41.63,68.42,10.26
4,540.73,0,16.79,37.55,14.42,34.98,68.91,8.99
4,547.41,0,17.14,49.35,14.78,42.98,76.89,10.01
4,614.17,0,22.96,43.99,14.42,35.09,69.83,10.01
4,423.91,0,9.25,60.08,9.18,32.67,79.66,5.83
4,440.6,0,10.71,45.78,9.89,27.55,61.14,7.73
4,380.52,0,9.77,51.5,10.97,26.09,59.8,5.51
4,380.52,0,10.37,50.78,10.37,37.48,79.84,5.32
4,370.5,0,10.63,43.99,10.73,33.58,87.44,5.57
4,413.9,0.01,16.97,27.18,19.31,33.1,79.83,6.4
4,520.71,0,16.28,44.35,14.66,34.11,80.22,9.75
5,620.84,0,22.28,31.47,18.12,42.81,119.9,12.41
2,373.84,0,7.45,50.78,12.28,17.26,23.72,7.79
1,377.18,0,6.94,60.8,8.58,9.44,10.29,1.87
2,383.85,0,4.11,61.51,3.01,15.12,15.39,0.67
4,507.36,0,13.2,53.64,10.13,27.03,44.68,8.87
5,487.33,0.01,15.77,30.4,13.23,60.17,130.39,3.36
5,367.17,0,14.05,41.13,16.93,49.5,112.6,2.66
5,340.46,0,11.48,44.7,15.5,47.64,111.29,2.63
4,387.19,0,11.82,30.4,12.99,28.42,66.47,2.95
4,473.98,0,13.02,57.22,10.37,29.58,60.32,4.43
4,390.53,0,11.48,51.5,10.01,28.57,70.08,5.51
4,353.81,0.01,19.54,29.33,24.8,25.08,64.38,3.39
4,360.49,0.07,18.85,17.88,22.89,21.66,67.56,4.24
4,313.76,0.02,16.11,22.89,22.41,21.7,70.18,3.96
4,307.08,0.01,13.37,23.96,16.45,18.87,56.27,4.12
4,317.1,0,9.43,43.63,9.66,25.7,86.79,5.07
4,383.85,0,13.54,51.5,13.23,32.91,95.29,6.59
4,283.72,0,11.31,39.7,13.35,21.51,72.49,3.55
